epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.264,1.43929,5.17366,0.96766,0.58403,0.08331,0.05645,0.04067,1.25365,3.89041,0.88133,5.94796e-05,5.94796e-05,5.94796e-05
2,992.418,1.31786,3.60426,0.89857,0.52143,0.16527,0.13356,0.09444,1.15656,2.95488,0.86399,0.000113249,0.000113249,0.000113249
3,1493.29,1.23913,2.89142,0.88594,0.51897,0.22949,0.2014,0.14317,1.08428,2.46225,0.85441,0.00016111,0.00016111,0.00016111
4,2022.64,1.16098,2.45928,0.86876,0.62773,0.25516,0.2766,0.19683,1.03399,2.14927,0.85405,0.000152418,0.000152418,0.000152418
5,2562.69,1.12808,2.17675,0.86909,0.5249,0.36403,0.36335,0.25319,1.00305,1.83817,0.84624,0.000143558,0.000143558,0.000143558
6,3084.19,1.09605,1.99647,0.86516,0.66504,0.35324,0.41705,0.29748,0.97339,1.69072,0.84707,0.000134697,0.000134697,0.000134697
7,3592.19,1.0574,1.79816,0.85671,0.6353,0.43353,0.47854,0.33865,0.95933,1.53042,0.84146,0.000125837,0.000125837,0.000125837
8,4109.57,1.07051,1.68108,0.85911,0.6539,0.46393,0.52342,0.3712,0.93809,1.42309,0.84177,0.000116976,0.000116976,0.000116976
9,4628.19,1.04257,1.56333,0.85875,0.68051,0.52044,0.56393,0.40228,0.9194,1.33079,0.83716,0.000108116,0.000108116,0.000108116
10,5149.29,1.00298,1.48053,0.85217,0.65848,0.56859,0.61117,0.43214,0.92843,1.26745,0.83819,9.92555e-05,9.92555e-05,9.92555e-05
11,5669.3,0.98329,1.56465,0.84735,0.72965,0.58116,0.63353,0.44411,0.92514,1.23317,0.83653,9.0395e-05,9.0395e-05,9.0395e-05
12,6185.21,0.95203,1.43339,0.84284,0.73805,0.63786,0.66747,0.47521,0.9051,1.1566,0.83539,8.15345e-05,8.15345e-05,8.15345e-05
13,6700.51,0.94733,1.39412,0.84125,0.74504,0.6708,0.6984,0.49204,0.89214,1.11075,0.83239,7.2674e-05,7.2674e-05,7.2674e-05
14,7211.14,0.92686,1.31716,0.83892,0.80371,0.65789,0.71834,0.50371,0.88487,1.07527,0.83303,6.38135e-05,6.38135e-05,6.38135e-05
15,7705.97,0.92787,1.30014,0.84144,0.82149,0.63877,0.72934,0.51832,0.86852,1.0375,0.82974,5.4953e-05,5.4953e-05,5.4953e-05
16,8189.99,0.89845,1.2454,0.83638,0.80114,0.67476,0.74685,0.53716,0.86323,1.0055,0.82816,4.60925e-05,4.60925e-05,4.60925e-05
17,8635.31,0.89611,1.20339,0.83499,0.83276,0.67565,0.76345,0.54643,0.86154,0.98616,0.82787,3.7232e-05,3.7232e-05,3.7232e-05
18,9140.31,0.88142,1.17589,0.83705,0.81193,0.68582,0.76144,0.5477,0.84627,0.9702,0.82838,2.83715e-05,2.83715e-05,2.83715e-05
19,9623.73,0.87049,1.16678,0.82989,0.81133,0.70686,0.76739,0.55289,0.84458,0.95974,0.82707,1.9511e-05,1.9511e-05,1.9511e-05
20,10108.4,0.86589,1.15424,0.83131,0.84125,0.72131,0.77374,0.55554,0.8374,0.94729,0.8256,1.06505e-05,1.06505e-05,1.06505e-05
